Similarity,Department_1,Department_2
0.537233,EDUC,PHYS
0.5372008,DGAH,EUST
0.53679097,CLAS,LATN
0.5358377,HIST,RUSS
0.53489125,DANC,MUSC
0.5348159,BIOL,POSC
0.53467983,CCST,IDSC
0.53392285,LATN,PHIL
0.53355545,ECON,GERM
0.53256667,PHYS,RELG
0.5321995,CAMS,EDUC
0.53211015,ASST,PHYS
0.5308727,AFST,ARCN
0.53075534,ASST,DANC
0.53045493,ARCN,CS
0.5299164,EUST,RELG
0.52975094,GEOL,PHIL
0.5297362,CHIN,NEUR
0.5296215,HIST,STAT
0.5294443,AMST,EUST
0.5281957,CHIN,THEA
0.52813077,HEBR,LTAM
0.52811056,ARTS,IDSC
0.5277859,AFST,LTAM
0.5277161,ECON,NEUR
0.52729774,GWSS,SOAN
0.5271254,DANC,HIST
0.5267985,ARTH,MELA
0.52670324,LTAM,OCP
0.5267005,HIST,IDSC
0.5263246,MEST,PHYS
0.5258577,FREN,NEUR
0.5253025,JAPN,MEST
0.5251617,BIOL,EUST
0.5245778,BIOL,PSYC
0.5243988,FREN,GERM
0.5231163,ARTS,DGAH
0.52265745,HIST,LTAM
0.52109927,DANC,RUSS
0.5207321,ARTS,EDUC
0.52007556,CHIN,ENGL
0.5200234,DGAH,GRK
0.5200035,CAMS,RELG
0.5198062,ARCN,EUST
0.5194434,ARCN,MUSC
0.51932687,MELA,PHIL
0.51910025,GRK,LTAM
0.51896966,BIOL,MEST
0.5186732,AFST,GEOL
0.5181835,BIOC,PHIL
0.5181819,FREN,RELG
0.51810926,ASST,JAPN
0.51807004,ENGL,EUST
0.51708907,HIST,NEUR
0.5167404,ARCN,CAMS
0.51663595,CLAS,DANC
0.516533,OCP,SOAN
0.51649386,AFST,CAMS
0.5161901,ARTH,FREN
0.51561743,ECON,ENGL
0.5155494,GWSS,LING
0.5153233,JAPN,LTAM
0.51514864,CGSC,DGAH
0.5147278,OCP,PHYS
0.5143318,ARCN,GRK
0.5140504,ARBC,CS
0.5135939,ENGL,PSYC
0.51341504,CHIN,IDSC
0.51295036,AFST,SPAN
0.51236695,ASST,FREN
0.5121494,ARTH,PHIL
0.5119789,CHEM,LTAM
0.51188636,ARTH,CAMS
0.51164633,ASTR,RUSS
0.51110363,ARTS,MUSC
0.5110464,ARTH,JAPN
0.5106553,GEOL,HIST
0.51049024,ARBC,ASST
0.51017547,ASTR,EDUC
0.50969595,CCST,GRK
0.5094647,CCST,GERM
0.509099,CGSC,CHIN
0.50898045,ECON,EDUC
0.5086194,EDUC,MUSC
0.5086155,IDSC,POSC
0.5081564,AFST,DANC
0.50801796,GEOL,RUSS
0.5079001,ASLN,IDSC
0.5078549,AMST,DANC
0.5078315,BIOC,LING
0.5071342,ARTH,MATH
0.506801,CS,FREN
0.5061058,GERM,MEST
0.50589585,ECON,HIST
0.5055718,ASLN,CLAS
0.5053217,CCST,LATN
0.50433487,FREN,LTAM
0.5037379,ARTH,DANC
0.50355726,CCST,CS
0.50344855,BIOC,JAPN
0.5032078,EUST,NEUR
0.50279725,ARTH,RUSS
0.50261134,CLAS,RUSS
0.50252104,CCST,MUSC
0.50185436,OCP,THEA
0.5014474,ASST,BIOC
0.5011255,AMST,MELA
0.50084186,CHEM,NEUR
0.5008324,EUST,SOAN
0.49940756,CCST,EDUC
0.4993812,BIOL,PHIL
0.49873948,ASST,HEBR
0.49850303,ASTR,LING
0.498156,ASST,CHEM
0.496778,CHEM,HIST
0.4963479,CS,RUSS
0.49603325,GWSS,MATH
0.49515077,CAMS,HIST
0.49444,EDUC,EUST
0.49416515,CS,MUSC
0.49360865,MELA,PHYS
0.4932596,BIOL,CLAS
0.4928738,ARTS,HIST
0.4924153,RELG,RUSS
0.49227884,AFST,GERM
0.4920893,ASST,LING
0.49204996,ARTH,CHIN
0.49193874,AMST,CHIN
0.48959428,CGSC,LTAM
0.48952433,BIOC,GERM
0.48949644,BIOC,CGSC
0.48923984,ARBC,CLAS
0.4891506,ARCN,ARTH
0.48908684,ARTS,POSC
0.4890473,MELA,SOAN
0.488434,MEST,PSYC
0.48817906,AFST,LING
0.48763838,CS,GERM
0.48684713,ARBC,PHIL
0.48636267,ASTR,FREN
0.48562166,EDUC,PSYC
0.4856133,CGSC,CLAS
0.48515904,ARTS,JAPN
0.48496553,GERM,LING
0.48486114,CCST,LING
0.48464736,GEOL,OCP
0.48451844,AFST,MELA
0.48440963,CAMS,FREN
0.48438066,ARCN,CHEM
0.48309493,LTAM,MUSC
0.48302802,BIOL,CGSC
0.48222622,CS,GRK
0.4812203,ASST,NEUR
0.48118132,STAT,THEA
0.48090652,CGSC,HEBR
0.48058805,AFST,ASTR
0.48044726,EUST,LATN
