source node,target node,similarity score
HIST 205,HIST 205,0.99999994
HIST 205,POSC 322,0.86792904
HIST 205,AFST 289,0.78473806
HIST 205,CLAS 123,0.7816314
HIST 205,HIST 111,0.7605189
HIST 206,HIST 209,0.8412746
HIST 206,AFST 300,0.79126877
HIST 206,CLAS 240,0.774336
HIST 206,ARCN 222,0.7697687
HIST 209,RELG 221,0.84381187
HIST 209,HIST 206,0.8412746
HIST 209,RELG 110,0.84006447
HIST 209,AFST 300,0.8012701
HIST 209,CLAS 240,0.7764678
HIST 209,HIST 308,0.7735969
HIST 209,SPAN 369,0.7659162
HIST 229,HIST 229,0.99999994
HIST 229,ARTH 214,0.81223685
HIST 229,RELG 221,0.7778459
HIST 229,AMST 115,0.77279097
HIST 251,CLAS 123,0.8765467
HIST 251,GERM 217,0.8400638
HIST 251,HIST 270,0.8232551
HIST 251,RELG 110,0.788243
HIST 251,POSC 322,0.7625608
HIST 251,POSC 315,0.7565268
HIST 265,CHIN 251,0.8109885
HIST 265,RUSS 228,0.7701128
HIST 265,GERM 217,0.7405482
HIST 270,HIST 251,0.8232551
HIST 270,POSC 315,0.81250656
HIST 270,GERM 217,0.79745907
HIST 276,RELG 261,0.7893652
HIST 276,MUSC 217,0.7644083
HIST 276,MELA 230,0.7473955
HIST 287,HIST 287,0.99999994
HIST 287,RELG 121,0.6264461
HIST 287,HIST 205,0.62357306
HIST 298,HIST 298,0.99999994
HIST 298,THEA 199,0.73633546
HIST 298,IDSC 298,0.71182305
HIST 308,POSC 322,0.79384977
HIST 308,HIST 209,0.7735969
HIST 308,RELG 221,0.76630163
HIST 308,RELG 121,0.76558626
HIST 308,POSC 120,0.7632142
HIST 308,AFST 289,0.7576215
HIST 347,RELG 261,0.7567258
HIST 347,POSC 322,0.7278112
HIST 347,HIST 251,0.72297484
IDSC 198,IDSC 198,0.9999999
IDSC 198,RUSS 103,0.7986519
IDSC 198,RUSS 307,0.7876808
IDSC 198,IDSC 298,0.77114815
IDSC 202,RUSS 228F,0.8057932
IDSC 202,CHEM 300.00,0.77639115
IDSC 202,CAMS 272,0.7761403
IDSC 238,AFST 289,0.72070104
IDSC 238,ARTS 139,0.64919126
IDSC 238,ECON 280,0.6478145
IDSC 251,IDSC 251,0.99999994
IDSC 251,PHIL 124,0.7664662
IDSC 251,ECON 274,0.7259359
IDSC 280,THEA 190,0.8556966
IDSC 280,EDUC 385,0.83805144
IDSC 280,DANC 206,0.81237155
IDSC 280,CAMS 272,0.81010336
IDSC 289,BIOC 331,0.8593363
IDSC 289,CHEM 300.00,0.8352909
IDSC 289,IDSC 298,0.74503416
IDSC 298,EDUC 385,0.8420703
IDSC 298,IDSC 198,0.77114815
IDSC 298,CHEM 300.00,0.7700217
IDSC 298,THEA 199,0.7598099
JAPN 103,GRK 102,0.8940492
JAPN 103,LATN 103,0.86676675
JAPN 103,BIOL 241,0.8232211
JAPN 103,ASLN 111,0.7998089
JAPN 103,SPAN 103,0.79738873
JAPN 103,FREN 103,0.795004
JAPN 103,ARTS 262,0.7931404
JAPN 206,JAPN 206,0.99999994
JAPN 206,SPAN 103,0.8252349
JAPN 206,CHIN 206,0.80352944
JAPN 206,GRK 102,0.7676293
JAPN 206,FREN 103,0.763758
JAPN 343,JAPN 343,0.99999994
JAPN 343,CLAS 123,0.83703685
JAPN 343,RELG 110,0.7841988
JAPN 343,HIST 201,0.7671913
JAPN 343,POSC 120,0.7657552
LATN 103,JAPN 103,0.86676675
LATN 103,GRK 102,0.8437188
LATN 103,RUSS 307,0.7675829
LATN 103,CGSC 130.00,0.7675581
LATN 103,SPAN 103,0.75601447
LATN 103,ARTS 374,0.75454766
LATN 240,ENGL 338,0.7783534
LATN 240,CLAS 214,0.71571296
LATN 240,SPAN 220,0.7130687
LING 110,LING 110,0.99999994
LING 110,LING 135,0.8144239
LING 110,STAT 220,0.7660018
LING 115,LING 115,0.9999998
LING 115,SOAN 313,0.6461631
LING 115,MUSC 313,0.6303056
LING 135,LING 110,0.8144239
LING 135,CS 208,0.7708577
LING 135,SOAN 110,0.75612354
LING 319,LING 319,0.99999994
LING 319,CS 251,0.70823985
LING 319,SOAN 240,0.6989961
LTAM 220,HIST 209,0.74586934
LTAM 220,GWSS 200,0.7220893
LTAM 220,POSC 120,0.7209855
LTAM 398,LTAM 398,0.9999999
LTAM 398,DANC 206,0.685781
