Course,Most_Similar_Course,Similarity
GWSS 200,POSC 302,0.69300395
GWSS 200,POSC 266,0.6913033
GWSS 398.00,AMST 115,0.839295
GWSS 398.00,GWSS 110,0.7734505
GWSS 398.00,POSC 252,0.7071619
HEBR 102,DANC 107,0.82700247
HEBR 102,DANC 206,0.7671617
HEBR 102,SPAN 205,0.7643507
HIST 111,POSC 322,0.7370889
HIST 111,POSC 120,0.71465
HIST 111,AFST 289,0.70909786
HIST 116,LATN 240,0.7747672
HIST 116,SPAN 220,0.7173911
HIST 116,ENGL 338,0.7110074
HIST 153,JAPN 343,0.73369014
HIST 153,FREN 255,0.7162269
HIST 153,CAMS 277,0.7158266
HIST 201,EUST 207,0.82141083
HIST 201,CLAS 123,0.7907322
HIST 201,JAPN 343,0.73896176
HIST 205,JAPN 343,0.78927475
HIST 205,POSC 322,0.7827181
HIST 205,AFST 289,0.7501228
HIST 206,ARCN 222,0.80313075
HIST 206,RELG 221,0.7949121
HIST 206,HIST 209,0.79148203
HIST 209,AFST 300,0.827733
HIST 209,RELG 221,0.8052945
HIST 209,HIST 206,0.79148203
HIST 229,ARTH 214,0.82577664
HIST 229,RELG 221,0.7617496
HIST 229,CLAS 214,0.75430506
HIST 251,CLAS 123,0.8829909
HIST 251,RELG 110,0.84379554
HIST 251,GERM 217,0.80720985
HIST 265,CHIN 251,0.7590728
HIST 265,RELG 121,0.7436751
HIST 265,RELG 110,0.7330254
HIST 270,POSC 315,0.8380101
HIST 270,HIST 251,0.7994657
HIST 270,GERM 217,0.74262106
HIST 276,CLAS 142,0.8037961
HIST 276,ENGL 209,0.7738609
HIST 276,SPAN 369,0.76768196
HIST 287,EDUC 110,0.6110774
HIST 287,CLAS 240,0.592022
HIST 287,THEA 185,0.58229226
HIST 298,CHEM 349,0.6912953
HIST 298,DANC 208,0.6763248
HIST 298,RUSS 110,0.67106456
HIST 308,RELG 110,0.8505575
HIST 308,RELG 261,0.80062896
HIST 308,RELG 121,0.7782983
HIST 347,RELG 261,0.857436
HIST 347,POSC 322,0.7829732
HIST 347,HIST 209,0.7542174
IDSC 198,IDSC 298,0.79357713
IDSC 198,IDSC 289,0.7474344
IDSC 198,ARTS 262,0.7376336
IDSC 202,CAMS 272,0.8010033
IDSC 202,RUSS 228F,0.8001936
IDSC 202,CHEM 300.00,0.75971717
IDSC 238,ECON 280,0.7031356
IDSC 238,AFST 289,0.6326139
IDSC 238,GEOL 255,0.59806013
IDSC 251,PHIL 124,0.77437127
IDSC 251,GRK 226,0.70806515
IDSC 251,ECON 274,0.7077718
IDSC 280,EDUC 385,0.8476586
IDSC 280,THEA 190,0.846373
IDSC 280,CAMS 272,0.7826855
IDSC 289,BIOC 331,0.83988243
IDSC 289,CHEM 300.00,0.82987523
IDSC 289,IDSC 298,0.78993404
IDSC 298,EDUC 385,0.8175867
IDSC 298,IDSC 198,0.79357713
IDSC 298,IDSC 289,0.78993404
JAPN 103,GRK 102,0.850832
JAPN 103,ASLN 111,0.8341174
JAPN 103,SPAN 103,0.7937313
JAPN 206,SPAN 103,0.81832933
