Course_1,Course_2,Similarity
AFST 300,CAMS 230,0.26562816
AFST 300,CAMS 265,-0.012126325
AFST 300,CAMS 272,0.021906132
AFST 300,CAMS 277,0.014458901
AFST 300,CCST 208,0.31907564
AFST 300,CGSC 130.00,-0.07999298
AFST 300,CGSC 330,0.024266465
AFST 300,CHEM 123,0.15193076
AFST 300,CHEM 224,-0.15112638
AFST 300,CHEM 234,-0.3244817
AFST 300,CHEM 300.00,0.15794794
AFST 300,CHEM 348,-0.15580224
AFST 300,CHEM 349,0.057786226
AFST 300,CHEM 351,-0.15323046
AFST 300,CHEM 352,0.043246374
AFST 300,CHEM 362,-0.022642678
AFST 300,CHIN 103,0.06880972
AFST 300,CHIN 206,0.24195907
AFST 300,CHIN 251,0.17686391
AFST 300,CHIN 358,0.434509
AFST 300,CLAS 123,0.31860963
AFST 300,CLAS 142,0.6610432
AFST 300,CLAS 214,0.67631227
AFST 300,CLAS 240,0.77551085
AFST 300,CS 111,-0.062427156
AFST 300,CS 201,0.4701715
AFST 300,CS 202,0.09125194
AFST 300,CS 208,0.31446317
AFST 300,CS 251,0.25641608
AFST 300,CS 252,0.07122482
AFST 300,CS 254,0.107575156
AFST 300,CS 257,0.19387618
AFST 300,CS 304,0.27542606
AFST 300,CS 311,0.5150619
AFST 300,CS 320,0.16826789
AFST 300,CS 347,0.15544288
AFST 300,CS 348,0.17818893
AFST 300,CS 361,0.09943354
AFST 300,DANC 107,0.09886736
AFST 300,DANC 148,0.063268624
AFST 300,DANC 190,0.006043545
AFST 300,DANC 200,0.059492644
AFST 300,DANC 206,0.039399736
AFST 300,DANC 208,0.024236305
AFST 300,DANC 279,-0.12836003
AFST 300,DANC 309,0.12380527
AFST 300,DANC 310,0.002350979
AFST 300,DANC 350,-0.20077579
AFST 300,DGAH 398,-0.081543095
AFST 300,ECON 110,-0.022217317
AFST 300,ECON 111,0.0006888022
AFST 300,ECON 265,0.14044112
AFST 300,ECON 269,0.18266557
AFST 300,ECON 270,0.049639765
AFST 300,ECON 274,0.69730836
AFST 300,ECON 277,0.4212571
AFST 300,ECON 280,0.19452971
AFST 300,ECON 330,0.02830833
AFST 300,ECON 331,0.121034436
AFST 300,ECON 398,-0.032019317
AFST 300,EDUC 110,0.44529465
AFST 300,EDUC 242,0.54383206
AFST 300,EDUC 338,0.6109334
AFST 300,EDUC 385,0.22260386
AFST 300,EDUC 395,0.34838682
AFST 300,ENGL 109,-0.018611144
AFST 300,ENGL 115,0.21398191
AFST 300,ENGL 160,0.12835662
AFST 300,ENGL 202,0.5579212
AFST 300,ENGL 209,0.3642994
AFST 300,ENGL 230,0.19687112
AFST 300,ENGL 253,0.3268682
AFST 300,ENGL 255,0.2620132
AFST 300,ENGL 268,0.17908563
AFST 300,ENGL 295,-0.18104981
AFST 300,ENGL 338,0.35105652
AFST 300,ENGL 370,0.28606066
AFST 300,ENGL 371,0.13792112
AFST 300,ENGL 395.00,0.3930681
AFST 300,EUST 101.07,0.23028941
AFST 300,EUST 207,0.39639312
AFST 300,FREN 103,0.07541233
AFST 300,FREN 208,0.1250287
AFST 300,FREN 210,0.16555531
AFST 300,FREN 245,0.3837648
AFST 300,FREN 254,0.10037076
AFST 300,FREN 255,0.42192063
AFST 300,FREN 259,0.36316252
AFST 300,FREN 310,0.42393106
AFST 300,GEOL 110,0.10877364
AFST 300,GEOL 230,0.011163986
AFST 300,GEOL 240,0.002997755
AFST 300,GEOL 255,-0.05629626
AFST 300,GERM 103,0.16593432
AFST 300,GERM 217,0.4899769
AFST 300,GERM 221,0.77007794
AFST 300,GRK 102,-0.010341025
AFST 300,GRK 226,0.639428
AFST 300,GWSS 110,0.58316725
AFST 300,GWSS 200,0.6574056
AFST 300,GWSS 398.00,0.5954341
AFST 300,HEBR 102,0.07932607
AFST 300,HIST 111,0.2720356
AFST 300,HIST 116,0.4942063
AFST 300,HIST 153,0.37559074
AFST 300,HIST 201,0.4865716
AFST 300,HIST 205,0.26882607
AFST 300,HIST 206,0.81329876
AFST 300,HIST 209,0.8340852
AFST 300,HIST 229,0.66795546
AFST 300,HIST 251,0.51425624
AFST 300,HIST 265,0.3624771
AFST 300,HIST 270,0.6520213
AFST 300,HIST 276,0.6313684
AFST 300,HIST 287,0.31179288
AFST 300,HIST 298,0.002530272
AFST 300,HIST 308,0.6173805
AFST 300,HIST 347,0.6362697
AFST 300,IDSC 198,-0.05879961
AFST 300,IDSC 202,0.3192986
AFST 300,IDSC 238,0.32477644
AFST 300,IDSC 251,0.38287026
AFST 300,IDSC 280,0.08955749
AFST 300,IDSC 289,0.090550706
AFST 300,IDSC 298,0.1381524
AFST 300,JAPN 103,0.055209495
AFST 300,JAPN 206,0.26286337
AFST 300,JAPN 343,0.3798252
AFST 300,LATN 103,-0.07883684
AFST 300,LATN 240,0.48608717
AFST 300,LING 110,0.28478453
AFST 300,LING 115,0.08173324
AFST 300,LING 135,0.35949203
AFST 300,LING 319,0.14194849
AFST 300,LTAM 220,0.68413216
AFST 300,LTAM 398,0.006627488
AFST 300,MATH 111,0.17542702
AFST 300,MATH 120,0.17819774
AFST 300,MATH 134,0.029369313
AFST 300,MATH 210,0.27470258
AFST 300,MATH 232,0.07635298
AFST 300,MATH 236,0.12189355
AFST 300,MATH 241,0.14446992
AFST 300,MATH 271,0.024496986
AFST 300,MATH 297,0.12927815
AFST 300,MATH 331,-0.080685474
AFST 300,MATH 341,-0.018247493
AFST 300,MATH 342,0.26764426
