Course_1,Course_2,Similarity
AMST 115,AFST 289,0.60012704
AMST 115,ENGL 255,0.59803116
AMST 115,RELG 261,0.5961202
AMST 115,ARTH 214,0.59205616
AMST 115,HIST 287,0.5878132
AMST 115,AFST 300,0.58604336
AMST 115,HIST 205,0.5854302
AMST 115,HIST 270,0.5831556
AMST 115,RELG 121,0.5829795
AMST 115,EDUC 395,0.58160156
AMST 115,HIST 347,0.57591295
AMST 115,POSC 170,0.5705796
AMST 115,POSC 231,0.56436586
AMST 115,LTAM 220,0.55604994
AMST 115,GERM 103,0.5516702
AMST 115,FREN 259,0.55149305
AMST 115,POSC 302,0.54173297
AMST 115,ECON 280,0.538949
AMST 115,PHIL 219,0.5362352
AMST 115,GERM 217,0.5311909
AMST 115,BIOL 353,0.5207953
AMST 115,RELG 265,0.51987314
AMST 115,POSC 315,0.5163709
AMST 115,CLAS 214,0.5138741
AMST 115,POSC 266,0.5094115
AMST 115,EDUC 110,0.50249517
AMST 115,ECON 277,0.502193
AMST 115,JAPN 103,0.49913508
AMST 115,ARCN 222,0.49739295
AMST 115,HIST 276,0.49709332
AMST 115,ASTR 233,0.49581897
AMST 115,CAMS 230,0.48794413
AMST 115,THEA 226,0.486252
AMST 115,EUST 207,0.48546013
AMST 115,PSYC 389,0.4833634
AMST 115,JAPN 343,0.48305935
AMST 115,HIST 111,0.48171854
AMST 115,POSC 201,0.4797511
AMST 115,ENGL 202,0.4779951
AMST 115,AMST 321,0.4779842
AMST 115,SOAN 323,0.47733763
AMST 115,FREN 245,0.47632506
AMST 115,CLAS 240,0.47262684
AMST 115,FREN 255,0.47179687
AMST 115,SOAN 313,0.46710706
AMST 115,GERM 221,0.4635895
AMST 115,RELG 213,0.46067974
AMST 115,EDUC 242,0.45983762
AMST 115,PSYC 382,0.45486215
AMST 115,GWSS 200,0.45131367
AMST 115,MUSC 217,0.4504931
AMST 115,BIOL 378,0.44862515
AMST 115,ECON 269,0.4457956
AMST 115,ENGL 230,0.44096875
AMST 115,POSC 252,0.4348809
AMST 115,CAMS 265,0.43199605
AMST 115,DANC 309,0.4313029
AMST 115,RELG 155,0.43043342
AMST 115,SPAN 220,0.4269955
AMST 115,PSYC 354,0.425605
AMST 115,RUSS 307,0.42193347
AMST 115,MATH 236,0.41857746
AMST 115,MUSC 127,0.40700263
AMST 115,ENGL 338,0.4013642
AMST 115,RUSS 207,0.3981599
AMST 115,POSC 206.00,0.39655018
AMST 115,IDSC 238,0.3858946
AMST 115,PHIL 270,0.37448552
AMST 115,CHIN 206,0.3739426
AMST 115,IDSC 202,0.37098897
AMST 115,GEOL 230,0.37096724
AMST 115,MATH 120,0.36881518
AMST 115,AMST 396.00,0.3638286
AMST 115,CGSC 130.00,0.35757378
AMST 115,SOAN 214,0.35588193
AMST 115,SOAN 262,0.35540134
AMST 115,EDUC 338,0.3548553
AMST 115,DANC 200,0.3521702
AMST 115,SPAN 263,0.34420192
AMST 115,BIOL 370,0.33992624
AMST 115,GEOL 255,0.33936626
AMST 115,ECON 274,0.33852834
AMST 115,RUSS 209,0.33808485
AMST 115,NEUR 395,0.33792686
AMST 115,POSC 160,0.33760205
AMST 115,POSC 348,0.33383048
AMST 115,RUSS 267,0.33349812
AMST 115,SOAN 312,0.33170936
AMST 115,PHIL 124,0.33067963
AMST 115,LATN 103,0.32704243
AMST 115,GRK 102,0.32435122
AMST 115,POSC 333,0.3239761
AMST 115,DANC 208,0.31563443
AMST 115,CGSC 330,0.313735
AMST 115,RUSS 309,0.31371695
AMST 115,ECON 331,0.3131692
AMST 115,CS 361,0.31298116
AMST 115,CHIN 103,0.31236216
AMST 115,BIOL 240,0.31139904
AMST 115,BIOL 241,0.310266
AMST 115,ENGL 395.00,0.3087005
AMST 115,THEA 185,0.3079395
AMST 115,HIST 116,0.30756554
AMST 115,PHYS 235,0.30755684
AMST 115,CS 311,0.30501062
AMST 115,CAMS 229,0.30427182
AMST 115,LING 110,0.30395722
AMST 115,JAPN 206,0.30344102
AMST 115,CLAS 142,0.2960248
AMST 115,CHEM 352,0.29477897
AMST 115,EUST 101.07,0.29385987
AMST 115,LING 135,0.29300323
AMST 115,MEST 395,0.28796047
AMST 115,LATN 240,0.28605673
AMST 115,PSYC 216,0.28495163
AMST 115,ECON 270,0.28288877
AMST 115,MATH 210,0.28265426
AMST 115,ARTS 252,0.27938655
AMST 115,ECON 111,0.27919823
AMST 115,ARTS 122,0.2757164
AMST 115,CHEM 349,0.268681
AMST 115,FREN 254,0.26651123
AMST 115,ARTS 262,0.2628814
AMST 115,CHIN 358,0.26101977
AMST 115,PSYC 220,0.25241286
AMST 115,PSYC 110,0.25092128
AMST 115,CAMS 110,0.25061357
