Course_1,Course_2,Similarity
AMST 115,ARTS 339,0.1969407
AMST 115,ARTS 374,0.12395788
AMST 115,ASLN 111,0.270799
AMST 115,ASST 110,0.27900797
AMST 115,ASST 285,0.60675335
AMST 115,ASTR 113,0.22882491
AMST 115,ASTR 233,0.46776214
AMST 115,BIOC 311,0.034878578
AMST 115,BIOC 331,0.076938905
AMST 115,BIOL 125,0.13170846
AMST 115,BIOL 126,0.11961264
AMST 115,BIOL 240,0.36687997
AMST 115,BIOL 241,0.45040292
AMST 115,BIOL 352,0.23478718
AMST 115,BIOL 353,0.5749232
AMST 115,BIOL 370,0.27205172
AMST 115,BIOL 378,0.45126265
AMST 115,CAMS 110,0.26166624
AMST 115,CAMS 111,0.17745897
AMST 115,CAMS 186,0.23237257
AMST 115,CAMS 187,0.60606384
AMST 115,CAMS 214,0.648282
AMST 115,CAMS 229,0.31369072
AMST 115,CAMS 230,0.5303463
AMST 115,CAMS 265,0.44239917
AMST 115,CAMS 272,0.12535454
AMST 115,CAMS 277,0.011236169
AMST 115,CCST 208,0.20148179
AMST 115,CGSC 130.00,0.47729337
AMST 115,CGSC 330,0.33171552
AMST 115,CHEM 123,0.061196275
AMST 115,CHEM 224,0.075023815
AMST 115,CHEM 234,-0.061807767
AMST 115,CHEM 300.00,0.11217644
AMST 115,CHEM 348,0.04937726
AMST 115,CHEM 349,0.2186553
AMST 115,CHEM 351,0.08323762
AMST 115,CHEM 352,0.21954396
AMST 115,CHEM 362,0.2248282
AMST 115,CHIN 103,0.39540318
AMST 115,CHIN 206,0.4060681
AMST 115,CHIN 251,0.24663238
AMST 115,CHIN 358,0.26198184
AMST 115,CLAS 123,0.6514669
AMST 115,CLAS 142,0.2933823
AMST 115,CLAS 214,0.46372947
AMST 115,CLAS 240,0.39517182
AMST 115,CS 111,-0.098032065
AMST 115,CS 201,-0.0067864447
AMST 115,CS 202,-0.21536086
AMST 115,CS 208,0.0077249813
AMST 115,CS 251,0.22540209
AMST 115,CS 252,0.043305222
AMST 115,CS 254,0.1402682
AMST 115,CS 257,0.0014752334
AMST 115,CS 304,0.1591941
AMST 115,CS 311,0.3089874
AMST 115,CS 320,0.048778106
AMST 115,CS 347,0.0338423
AMST 115,CS 348,-0.10460083
AMST 115,CS 361,0.3279597
AMST 115,DANC 107,0.13977641
AMST 115,DANC 148,0.23389791
AMST 115,DANC 190,0.02963967
AMST 115,DANC 200,0.38135034
AMST 115,DANC 206,0.059351828
AMST 115,DANC 208,0.40208825
AMST 115,DANC 279,0.13955605
AMST 115,DANC 309,0.49036163
AMST 115,DANC 310,0.2650688
AMST 115,DANC 350,-0.05940945
AMST 115,DGAH 398,0.26488382
AMST 115,ECON 110,0.16804217
AMST 115,ECON 111,0.18701541
AMST 115,ECON 265,0.06752046
AMST 115,ECON 269,0.4737482
AMST 115,ECON 270,0.18727778
AMST 115,ECON 274,0.29173326
AMST 115,ECON 277,0.5091994
AMST 115,ECON 280,0.55437565
AMST 115,ECON 330,0.18823293
AMST 115,ECON 331,0.2803675
AMST 115,ECON 398,0.12952262
AMST 115,EDUC 110,0.48493922
AMST 115,EDUC 242,0.45949617
AMST 115,EDUC 338,0.31277794
AMST 115,EDUC 385,0.08975992
AMST 115,EDUC 395,0.5871363
AMST 115,ENGL 109,-0.22876936
AMST 115,ENGL 115,0.1712056
AMST 115,ENGL 160,0.012888666
AMST 115,ENGL 202,0.44106597
AMST 115,ENGL 209,-0.123350754
AMST 115,ENGL 230,0.3881682
AMST 115,ENGL 253,0.2055216
AMST 115,ENGL 255,0.63511413
AMST 115,ENGL 268,0.06322533
AMST 115,ENGL 295,0.17067803
AMST 115,ENGL 338,0.37248084
AMST 115,ENGL 370,0.11575778
AMST 115,ENGL 371,-0.0029353125
AMST 115,ENGL 395.00,0.28589097
AMST 115,EUST 101.07,0.29496038
AMST 115,EUST 207,0.46464917
AMST 115,FREN 103,0.20506519
AMST 115,FREN 208,0.15101346
AMST 115,FREN 210,0.061079282
AMST 115,FREN 245,0.4715451
AMST 115,FREN 254,0.3299976
AMST 115,FREN 255,0.3895202
AMST 115,FREN 259,0.55358434
AMST 115,FREN 310,0.18763268
AMST 115,GEOL 110,0.24810882
AMST 115,GEOL 230,0.33635497
AMST 115,GEOL 240,-0.005182379
AMST 115,GEOL 255,0.34880474
AMST 115,GERM 103,0.6296349
AMST 115,GERM 217,0.4557503
AMST 115,GERM 221,0.3810777
AMST 115,GRK 102,0.4099402
AMST 115,GRK 226,0.21318148
AMST 115,GWSS 110,0.72153807
AMST 115,GWSS 200,0.40540004
AMST 115,GWSS 398.00,0.83650964
AMST 115,HEBR 102,0.1646996
AMST 115,HIST 111,0.27853766
AMST 115,HIST 116,0.30733362
AMST 115,HIST 153,0.14303586
AMST 115,HIST 201,0.6005675
